squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
Barcelona,2019,2020,82,86.0,38.0,50,52.0,16.0,32,34.0,22.0
Atl. Madrid,2019,2020,70,51.0,27.0,42,28.0,11.0,28,23.0,16.0
Valencia,2019,2020,53,46.0,53.0,40,29.0,16.0,13,17.0,37.0
Ath Bilbao,2019,2020,51,41.0,38.0,31,21.0,14.0,20,20.0,24.0
Alaves,2019,2020,39,34.0,59.0,27,20.0,19.0,12,14.0,40.0
Granada CF,2019,2020,56,52.0,45.0,33,26.0,16.0,23,26.0,29.0
Valladolid,2019,2020,42,32.0,43.0,25,18.0,15.0,17,14.0,28.0
Levante,2019,2020,49,47.0,53.0,32,27.0,19.0,17,20.0,34.0
Betis,2019,2020,41,48.0,60.0,31,34.0,27.0,10,14.0,33.0
Villarreal,2019,2020,60,63.0,49.0,32,37.0,25.0,28,26.0,24.0
Real Sociedad,2019,2020,56,56.0,48.0,31,33.0,20.0,25,23.0,28.0
Espanyol,2019,2020,25,27.0,58.0,12,15.0,31.0,13,12.0,27.0
Eibar,2019,2020,42,39.0,56.0,27,25.0,25.0,15,14.0,31.0
Osasuna,2019,2020,52,46.0,54.0,28,26.0,29.0,24,20.0,25.0
Real Madrid,2019,2020,87,70.0,25.0,49,40.0,11.0,38,30.0,14.0
Getafe,2019,2020,54,43.0,37.0,30,25.0,20.0,24,18.0,17.0
Eibar,2020,2021,30,29.0,52.0,13,12.0,21.0,17,17.0,31.0
Celta Vigo,2020,2021,53,55.0,57.0,30,30.0,30.0,23,25.0,27.0
Granada CF,2020,2021,46,47.0,65.0,31,25.0,25.0,15,22.0,40.0
Ath Bilbao,2020,2021,46,46.0,42.0,30,29.0,19.0,16,17.0,23.0
Cadiz CF,2020,2021,44,36.0,58.0,20,17.0,30.0,24,19.0,28.0
Osasuna,2020,2021,44,37.0,48.0,26,21.0,23.0,18,16.0,25.0
