time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2021-02-22 03:45:00,Benevento,0,AS Roma,0,2020,2021,2021,ITA,0,2,22,3,45
2021-02-23 03:45:00,Juventus,3,Crotone,0,2020,2021,2021,ITA,1,2,23,3,45
2021-02-27 22:00:00,Spezia,2,Parma,2,2020,2021,2021,ITA,5,2,27,22,0
2021-02-28 01:00:00,Bologna,2,Lazio,0,2020,2021,2021,ITA,6,2,28,1,0
2021-02-28 03:45:00,Verona,1,Juventus,1,2020,2021,2021,ITA,6,2,28,3,45
2021-02-28 19:30:00,Sampdoria,0,Atalanta,2,2020,2021,2021,ITA,6,2,28,19,30
2021-02-28 22:00:00,Udinese,1,Fiorentina,0,2020,2021,2021,ITA,6,2,28,22,0
2021-02-28 22:00:00,Inter,3,Genoa,0,2020,2021,2021,ITA,6,2,28,22,0
2021-02-28 22:00:00,Crotone,0,Cagliari,2,2020,2021,2021,ITA,6,2,28,22,0
2021-03-01 01:00:00,Napoli,2,Benevento,0,2020,2021,2021,ITA,0,3,1,1,0
2021-03-01 03:45:00,AS Roma,1,AC Milan,2,2020,2021,2021,ITA,0,3,1,3,45
2021-03-03 03:45:00,Juventus,3,Spezia,0,2020,2021,2021,ITA,2,3,3,3,45
2021-03-04 01:30:00,Sassuolo,3,Napoli,3,2020,2021,2021,ITA,3,3,4,1,30
2021-03-04 03:45:00,Fiorentina,1,AS Roma,2,2020,2021,2021,ITA,3,3,4,3,45
2021-03-04 03:45:00,AC Milan,1,Udinese,1,2020,2021,2021,ITA,3,3,4,3,45
2021-03-04 03:45:00,Atalanta,5,Crotone,1,2020,2021,2021,ITA,3,3,4,3,45
2021-03-04 03:45:00,Genoa,1,Sampdoria,1,2020,2021,2021,ITA,3,3,4,3,45
2021-03-04 03:45:00,Cagliari,1,Bologna,0,2020,2021,2021,ITA,3,3,4,3,45
2021-03-04 03:45:00,Benevento,0,Verona,3,2020,2021,2021,ITA,3,3,4,3,45
2021-03-05 03:45:00,Parma,1,Inter,2,2020,2021,2021,ITA,4,3,5,3,45
2021-03-06 22:00:00,Spezia,1,Benevento,1,2020,2021,2021,ITA,5,3,6,22,0
2021-03-07 01:00:00,Udinese,2,Sassuolo,0,2020,2021,2021,ITA,6,3,7,1,0
2021-03-07 03:45:00,Juventus,3,Lazio,1,2020,2021,2021,ITA,6,3,7,3,45
2021-03-07 19:30:00,AS Roma,1,Genoa,0,2020,2021,2021,ITA,6,3,7,19,30
2021-03-07 22:00:00,Verona,0,AC Milan,2,2020,2021,2021,ITA,6,3,7,22,0
2021-03-07 22:00:00,Fiorentina,3,Parma,3,2020,2021,2021,ITA,6,3,7,22,0
2021-03-07 22:00:00,Crotone,4,Torino,2,2020,2021,2021,ITA,6,3,7,22,0
2021-03-08 01:00:00,Sampdoria,2,Cagliari,2,2020,2021,2021,ITA,0,3,8,1,0
2021-03-08 03:45:00,Napoli,3,Bologna,1,2020,2021,2021,ITA,0,3,8,3,45
2021-03-09 03:45:00,Inter,1,Atalanta,0,2020,2021,2021,ITA,1,3,9,3,45
2021-03-12 22:00:00,Lazio,3,Crotone,2,2020,2021,2021,ITA,4,3,12,22,0
2021-03-13 03:45:00,Atalanta,3,Spezia,1,2020,2021,2021,ITA,5,3,13,3,45
2021-03-13 22:00:00,Sassuolo,3,Verona,2,2020,2021,2021,ITA,5,3,13,22,0
2021-03-14 01:00:00,Benevento,1,Fiorentina,4,2020,2021,2021,ITA,6,3,14,1,0
2021-03-14 03:45:00,Genoa,1,Udinese,1,2020,2021,2021,ITA,6,3,14,3,45
2021-03-14 19:30:00,Bologna,3,Sampdoria,1,2020,2021,2021,ITA,6,3,14,19,30
2021-03-14 22:00:00,Torino,1,Inter,2,2020,2021,2021,ITA,6,3,14,22,0
